calendar_source_line,calendar_class_date,calendar_start_time,calendar_end_time,calendar_location_text,calendar_class_title_text,calendar_teacher_text,calendar_reserved_count,calendar_capacity,calendar_fill_rate,drive_source_cell,drive_location_text,drive_class_title_text,drive_instructor_text,drive_capacity,match_score,match_status,capacity_difference,needs_review
69,2026-04-20,07:00,08:30,시이작,아쉬탕가 풀프라이머리 (준형),준형,4,4,1.0,R6C1,시이작,아쉬탕가 풀프라이머리(90분),준형,4,100.0,matched_same_capacity,0,False
71,2026-04-20,10:00,11:20,빅블루요가,정렬 에센스 (환),환,5,5,1.0,R7C1,빅블루요가,정렬 에센스(80분),환 (정원 5명),5,100.0,matched_same_capacity,0,False
73,2026-04-20,10:30,11:30,마인드플로우,비기너요가 (유미),유미,10,10,1.0,R8C1,마인드플로우,비기너요가(60분),유미,10,100.0,matched_same_capacity,0,False
75,2026-04-20,11:50,12:50,마이트리,테라피 (성욱),성욱,6,6,1.0,R9C1,마이트리,테라피(60분),성욱 -정원 5명,5,100.0,matched_capacity_mismatch,1,True
77,2026-04-20,18:30,19:30,마인드플로우,비기너요가 (유미),유미,7,10,0.7,R11C1,마인드플로우,비기너요가(60분),유미,10,100.0,matched_same_capacity,0,False
79,2026-04-20,18:30,19:30,시이작,깨어나는 하타 (준호),준호,4,4,1.0,R10C1,시이작,깨어나는 하타 (60분),준호,4,100.0,matched_same_capacity,0,False
81,2026-04-20,19:00,20:00,마이트리,하타 (성욱),성욱,3,5,0.6,R13C1,마이트리,하타 (60분),마이트리 성욱 -정원5명,5,100.0,matched_same_capacity,0,False
83,2026-04-20,19:30,20:40,빅블루요가,호흡 리커버리 (환),환,5,5,1.0,,,,,,0.0,no_drive_candidate_same_time,,True
85,2026-04-20,20:00,21:00,마인드플로우,빈야사요가 (유미),유미,7,10,0.7,R14C1,마인드플로우,빈야사요가(60분),유미 정원 10명,10,100.0,matched_same_capacity,0,False
87,2026-04-20,20:30,21:30,마이트리,테라피 (성욱),성욱,2,5,0.4,R15C1,마이트리,테라피(60분),마이트리 성욱 -정원5명,5,100.0,matched_same_capacity,0,False
91,2026-04-21,07:00,08:00,마이트리,하타 (성욱),성욱,3,5,0.6,R6C2,마이트리,하타(60분),성욱 -정원5명,5,100.0,matched_same_capacity,0,False
93,2026-04-21,08:45,09:45,시이작,숨쉬는 테라피 (준형),준형,4,4,1.0,R7C2,시이작,테라피 요가(60분),준형,4,86.96,matched_same_capacity,0,False
95,2026-04-21,10:00,11:20,빅블루요가,호흡 리커버리 (환),환,2,5,0.4,R8C2,빅블루요가,호흡 리커버리 (80분),환 (정원 5명),5,100.0,matched_same_capacity,0,False
97,2026-04-21,10:30,11:30,마인드플로우,빈야사요가 (유미),유미,6,10,0.6,R9C2,마인드플로우,빈야사요가(60분),유미 정원 10명,10,100.0,matched_same_capacity,0,False
99,2026-04-21,11:00,12:00,숨명상센터,향과 소리로 깨우는 오감명상 (수지),수지,5,8,0.625,R10C2,숨명상센터,향과 소리로 깨우는 오감 명상 (60분),수지 (정원 8명),8,89.8,matched_same_capacity,0,False
101,2026-04-21,18:30,19:30,마인드플로우,빈야사요가 (유미),유미,1,10,0.1,R12C2,마인드플로우,빈야사요가(60분),유미 정원 10명,10,100.0,matched_same_capacity,0,False
103,2026-04-21,18:30,19:30,시이작,땀나는 아쉬탕가 (준형),준형,4,4,1.0,R11C2,시이작,땀나는 아쉬탕가(60분),준형,4,100.0,matched_same_capacity,0,False
