_hype_row_id,class_base_key,class_title_base,studio_key,reservation_count,reservation_records,pass_reservation_count,one_time_reservation_count,unknown_reservation_count,cancellation_count,cancellation_records,review_count,avg_overall_rating,avg_class_rating,avg_atmosphere_rating,avg_facility_rating,avg_visit_count,review_needs_review_count,instructor_tag_count,space_tag_count,atmosphere_tag_count,difficulty_tag_count,recovery_tag_count,revisit_intent_tag_count,net_reservation_count,cancellation_rate,review_rate_per_reservation,pass_reservation_share,one_time_reservation_share,participant_price_proxy_krw,reservation_hype,review_hype,satisfaction_hype,revisit_hype,payment_hype,operations_stability,price_proxy_note,hype_match_key,capacity_match_key,capacity_match_score,capacity_match_status,studio_key_capacity,class_title_capacity,capacity_session_count,total_reserved_count_capacity,total_capacity,avg_capacity,min_capacity,max_capacity,avg_fill_rate,median_fill_rate,sold_out_session_count,high_fill_session_count,low_fill_session_count,empty_session_count,capacity_needs_review_count,first_class_date,last_class_date,weighted_fill_rate,sold_out_session_share,high_fill_session_share,capacity_hype_segment
0,마인드플로우빈야사요가,[마인드플로우] 빈야사요가,마인드플로우,110,102,60,42,0,57,55,6,4.95,5.0,5.0,4.833333333333333,1.8333333333333333,0,2,4,6,1,1,1,53,0.3413173652694611,0.0545454545454545,0.5454545454545454,0.3818181818181818,2100000,99.4,76.5,99.0,37.76,99.4,65.87,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",마인드플로우빈야사요가,마인드플로우빈야사요가,100.0,exact_normalized,마인드플로우,빈야사요가,17,110,159,9.352941176470589,5,11,0.6911764705882353,0.7,3,8,3,0,0,2026-04-20,2026-05-08,0.6918238993710691,0.17647058823529413,0.47058823529411764,steady_middle
1,빅블루요가정렬에센스,[빅블루요가] 정렬 에센스,빅블루요가,104,102,86,16,0,94,94,9,4.888888888888889,4.888888888888889,5.0,4.777777777777778,2.888888888888889,0,4,4,6,2,3,7,10,0.4747474747474747,0.0865384615384615,0.8269230769230769,0.1538461538461538,1905000,73.49,82.53,97.78,60.2,98.19,52.53,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",빅블루요가정렬에센스,빅블루요가정렬에센스,100.0,exact_normalized,빅블루요가,정렬 에센스,17,104,109,6.411764705882353,5,9,0.9445352941176469,1.0,13,16,0,0,0,2026-04-20,2026-05-09,0.9541284403669725,0.7647058823529411,0.9411764705882353,expand_or_repeat_candidate
2,마인드플로우비기너요가,[마인드플로우] 비기너요가,마인드플로우,77,74,49,25,0,41,39,3,5.0,5.0,5.0,5.0,2.333333333333333,0,2,3,3,0,1,2,36,0.3474576271186441,0.0389610389610389,0.6363636363636364,0.3246753246753247,1482500,98.19,69.88,100.0,56.12,96.99,65.25,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",마인드플로우비기너요가,마인드플로우비기너요가,100.0,exact_normalized,마인드플로우,비기너요가,16,77,123,7.6875,2,10,0.6427125,0.625,5,5,5,0,0,2026-04-20,2026-05-08,0.6260162601626016,0.3125,0.3125,steady_middle
3,빅블루요가호흡리커버리,[빅블루요가] 호흡 리커버리,빅블루요가,63,62,51,11,0,49,47,5,5.0,5.0,5.0,5.0,2.2,0,3,1,3,0,5,2,14,0.4375,0.0793650793650793,0.8095238095238095,0.1746031746031746,1167500,81.93,80.42,100.0,54.08,95.78,56.25,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",빅블루요가호흡리커버리,빅블루요가호흡리커버리,100.0,exact_normalized,빅블루요가,호흡 리커버리,12,63,73,6.083333333333333,5,8,0.84445,1.0,8,8,2,0,0,2026-04-20,2026-05-07,0.863013698630137,0.6666666666666666,0.6666666666666666,expand_or_repeat_candidate
4,마이트리테라피,[마이트리] 테라피,마이트리,51,51,37,14,0,35,31,1,5.0,5.0,5.0,5.0,1.0,0,0,1,1,0,1,0,16,0.4069767441860465,0.0196078431372549,0.7254901960784313,0.2745098039215686,997500,89.76,49.1,100.0,12.24,94.58,59.3,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",마이트리테라피,마이트리테라피,100.0,exact_normalized,마이트리,테라피,12,51,63,5.25,5,7,0.8095249999999999,1.0,7,9,2,1,0,2026-04-20,2026-05-08,0.8095238095238095,0.5833333333333334,0.75,steady_middle
5,마인드플로우하타요가,[마인드플로우] 하타요가,마인드플로우,49,43,23,20,0,33,27,2,4.85,5.0,5.0,4.5,2.0,0,1,1,1,0,0,1,16,0.4024390243902439,0.0408163265306122,0.4693877551020408,0.4081632653061224,902500,89.76,65.66,97.0,45.92,93.37,59.76,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",마인드플로우하타요가,마인드플로우하타요가,100.0,exact_normalized,마인드플로우,하타요가,9,49,78,8.666666666666666,6,10,0.6185222222222222,0.6667,3,4,3,1,0,2026-04-22,2026-05-08,0.6282051282051282,0.3333333333333333,0.4444444444444444,steady_middle
6,무릉티마인드풀니스세션,[무릉] 티마인드풀니스 세션,무릉,47,45,37,8,0,14,13,1,5.0,5.0,5.0,5.0,3.0,0,0,0,1,0,0,1,33,0.2295081967213114,0.0212765957446808,0.7872340425531915,0.1702127659574468,847500,96.99,49.7,100.0,68.37,90.96,77.05,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",무릉티마인드풀니스세션,무릉티마인드풀니스세션,100.0,exact_normalized,무릉,티마인드풀니스 세션,10,45,50,5.0,5,5,0.9,1.0,8,9,1,0,0,2026-05-02,2026-05-09,0.9,0.8,0.9,expand_or_repeat_candidate
7,마이트리하타,[마이트리] 하타,마이트리,46,46,37,9,0,27,27,0,,,,,,0,0,0,0,0,0,0,19,0.3698630136986301,0.0,0.8043478260869565,0.1956521739130435,872500,95.18,20.48,,,92.17,63.01,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",마이트리하타,마이트리하타,100.0,exact_normalized,마이트리,하타,11,46,58,5.2727272727272725,5,8,0.8022727272727272,1.0,6,6,1,0,0,2026-04-20,2026-05-08,0.7931034482758621,0.5454545454545454,0.5454545454545454,steady_middle
8,시이작땀나는빈야사,[시이작] 땀나는 빈야사,시이작,37,35,27,8,0,24,24,1,4.3,5.0,5.0,3.0,1.0,0,1,1,1,1,0,0,13,0.3934426229508196,0.027027027027027,0.7297297297297297,0.2162162162162162,672500,80.12,50.3,86.0,12.24,88.55,60.66,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",시이작땀나는빈야사,시이작땀나는빈야사,100.0,exact_normalized,시이작,땀나는 빈야사,9,37,39,4.333333333333333,4,5,0.9500000000000001,1.0,7,8,0,0,0,2026-04-23,2026-05-08,0.9487179487179487,0.7777777777777778,0.8888888888888888,expand_or_repeat_candidate
9,마이트리빈야사,[마이트리] 빈야사,마이트리,35,32,20,12,0,31,31,2,5.0,5.0,5.0,5.0,2.0,0,1,1,1,0,0,2,4,0.4696969696969697,0.0571428571428571,0.5714285714285714,0.3428571428571428,650000,37.35,68.38,100.0,45.92,87.35,53.03,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",마이트리빈야사,마이트리빈야사,100.0,exact_normalized,마이트리,빈야사,12,31,62,5.166666666666667,5,7,0.5023833333333333,0.5143,3,4,6,3,0,2026-04-21,2026-05-09,0.5,0.25,0.3333333333333333,steady_middle
