class_session_key,class_base_key,class_title_base,class_datetime_text,class_date,weekday_text,start_datetime_iso,end_datetime_iso,start_hour,duration_minutes,schedule_parse_status,schedule_needs_review,organizer_studio_key,actual_location_key,actual_location_display_name,actual_location_address,normalized_studio_key,display_name,address,latitude,longitude,needs_manual_verification,location_match_status,location_from_class_detail,movement_type,location_evidence_text,location_evidence_status,location_evidence_match_type,reservation_count,cancellation_count,net_reservation_count,review_count,reservation_hype,review_hype,satisfaction_hype,operations_stability,active_reservation_rows,active_people_count,unique_participant_count,cancellation_rows,cancelled_people_count
시이작아쉬탕가풀프라이머리_20260420T0700,시이작아쉬탕가풀프라이머리,[시이작] 아쉬탕가 풀프라이머리,4.20 (월) 07:00-08:30,2026-04-20,월,2026-04-20T07:00+09:00,2026-04-20T08:30+09:00,7,90,parsed,False,시이작,시이작,시이작,서울특별시 서대문구 연희로11나길 5 2층,시이작,시이작,서울특별시 서대문구 연희로11나길 5 2층,37.567493895799,126.928321014591,False,matched,True,studio_or_indoor,📍 장소 연희로 11나길 5 2층 시이작,matched_from_class_detail,address_without_city,12,11,1,2,14.46,86.15,100.0,52.17,4,4,3,2,2
빅블루요가정렬에센스_20260420T1000,빅블루요가정렬에센스,[빅블루요가] 정렬 에센스,4.20 (월) 10:00-11:20,2026-04-20,월,2026-04-20T10:00+09:00,2026-04-20T11:20+09:00,10,80,parsed,False,빅블루요가,빅블루요가,빅블루요가,서울특별시 서대문구 연희로15길 31 지층,빅블루요가,빅블루요가,서울특별시 서대문구 연희로15길 31 지층,37.568792797424,126.930228568115,False,matched,True,studio_or_indoor,📍 장소 서울 서대문구 연희로15길 31 지층,matched_from_class_detail,address,104,94,10,9,73.49,82.53,97.78,52.53,3,5,3,1,1
마인드플로우비기너요가_20260420T1030,마인드플로우비기너요가,[마인드플로우] 비기너요가,4.20 (월) 10:30-11:30,2026-04-20,월,2026-04-20T10:30+09:00,2026-04-20T11:30+09:00,10,60,parsed,False,마인드플로우,마인드플로우,마인드플로우,서울특별시 서대문구 연희로 224 3층,마인드플로우,마인드플로우,서울특별시 서대문구 연희로 224 3층,37.577020515491,126.935853747155,False,matched,True,studio_or_indoor,📍 장소 서울 서대문구 연희로 224 3층,matched_from_class_detail,address,77,41,36,3,98.19,69.88,100.0,65.25,10,10,10,3,3
마이트리테라피_20260420T1150,마이트리테라피,[마이트리] 테라피,4.20 (월) 11:50-12:50,2026-04-20,월,2026-04-20T11:50+09:00,2026-04-20T12:50+09:00,11,60,parsed,False,마이트리,마이트리,마이트리,서울특별시 서대문구 연희로 85 5층,마이트리,마이트리,서울특별시 서대문구 연희로 85 5층,37.565997558444,126.929894716912,False,matched,True,studio_or_indoor,📍 장소 서울 서대문구 연희로 85 5층,matched_from_class_detail,address,51,35,16,1,89.76,49.1,100.0,59.3,6,6,6,2,5
마인드플로우비기너요가_20260420T1830,마인드플로우비기너요가,[마인드플로우] 비기너요가,4.20 (월) 18:30-19:30,2026-04-20,월,2026-04-20T18:30+09:00,2026-04-20T19:30+09:00,18,60,parsed,False,마인드플로우,마인드플로우,마인드플로우,서울특별시 서대문구 연희로 224 3층,마인드플로우,마인드플로우,서울특별시 서대문구 연희로 224 3층,37.577020515491,126.935853747155,False,matched,True,studio_or_indoor,📍 장소 서울 서대문구 연희로 224 3층,matched_from_class_detail,address,77,41,36,3,98.19,69.88,100.0,65.25,7,7,7,1,1
시이작깨어나는하타_20260420T1830,시이작깨어나는하타,[시이작] 깨어나는 하타,4.20 (월) 18:30-19:30,2026-04-20,월,2026-04-20T18:30+09:00,2026-04-20T19:30+09:00,18,60,parsed,False,시이작,시이작,시이작,서울특별시 서대문구 연희로11나길 5 2층,시이작,시이작,서울특별시 서대문구 연희로11나길 5 2층,37.567493895799,126.928321014591,False,matched,True,studio_or_indoor,📍 장소 연희로 11나길 5 2층 시이작,matched_from_class_detail,address_without_city,12,4,8,0,67.47,20.48,,75.0,3,4,3,1,2
마이트리하타_20260420T1900,마이트리하타,[마이트리] 하타,4.20 (월) 19:00-20:00,2026-04-20,월,2026-04-20T19:00+09:00,2026-04-20T20:00+09:00,19,60,parsed,False,마이트리,마이트리,마이트리,서울특별시 서대문구 연희로 85 5층,마이트리,마이트리,서울특별시 서대문구 연희로 85 5층,37.565997558444,126.929894716912,False,matched,True,studio_or_indoor,📍 장소 서울 서대문구 연희로 85 5층,matched_from_class_detail,address,46,27,19,0,95.18,20.48,,63.01,3,3,3,4,4
빅블루요가호흡리커버리_20260420T1930,빅블루요가호흡리커버리,[빅블루요가] 호흡 리커버리,4.20 (월) 19:30-20:40,2026-04-20,월,2026-04-20T19:30+09:00,2026-04-20T20:40+09:00,19,70,parsed,False,빅블루요가,빅블루요가,빅블루요가,서울특별시 서대문구 연희로15길 31 지층,빅블루요가,빅블루요가,서울특별시 서대문구 연희로15길 31 지층,37.568792797424,126.930228568115,False,matched,True,studio_or_indoor,📍 장소 서울 서대문구 연희로15길 31 지층,matched_from_class_detail,address,63,49,14,5,81.93,80.42,100.0,56.25,5,5,5,2,2
마인드플로우빈야사요가_20260420T2000,마인드플로우빈야사요가,[마인드플로우] 빈야사요가,4.20 (월) 20:00-21:00,2026-04-20,월,2026-04-20T20:00+09:00,2026-04-20T21:00+09:00,20,60,parsed,False,마인드플로우,마인드플로우,마인드플로우,서울특별시 서대문구 연희로 224 3층,마인드플로우,마인드플로우,서울특별시 서대문구 연희로 224 3층,37.577020515491,126.935853747155,False,matched,True,studio_or_indoor,📍 장소 서울 서대문구 연희로 224 3층,matched_from_class_detail,address,110,57,53,6,99.4,76.5,99.0,65.87,6,7,6,4,4
마이트리테라피_20260420T2030,마이트리테라피,[마이트리] 테라피,4.20 (월) 20:30-21:30,2026-04-20,월,2026-04-20T20:30+09:00,2026-04-20T21:30+09:00,20,60,parsed,False,마이트리,마이트리,마이트리,서울특별시 서대문구 연희로 85 5층,마이트리,마이트리,서울특별시 서대문구 연희로 85 5층,37.565997558444,126.929894716912,False,matched,True,studio_or_indoor,📍 장소 서울 서대문구 연희로 85 5층,matched_from_class_detail,address,51,35,16,1,89.76,49.1,100.0,59.3,2,2,2,2,2
