area_key,top_folder,total_manifest_rows,local_copy_count,folder_count,skipped_pre_2026_count,error_count,private_or_sensitive_count,public_derivative_candidate_count
sponsor,3스폰서,228,174,30,24,0,0,0
program,1프로그램 리스트,143,114,29,0,0,0,143
fnb,4F&B,93,74,19,0,0,0,93
design,2디자인 (포스터),8,7,1,0,0,0,0
other,도움이 되시길 바랍니다,8,7,1,0,0,0,0
recovery,리커버리트랙,2,1,1,0,0,2,0
operations_response,2026연희요가위크 크루 모집(응답),1,1,0,0,0,1,0
other,2월_연희요가위크_요가명상원(저용량).pdf,1,1,0,0,0,0,0
other,3월 30일- 오붓 오픈 정말 마지막 부탁드려요,1,1,0,0,0,0,0
other,coupon_yeonhui_week_obud.xlsx,1,1,0,0,0,1,0
other,연희요가위크 기본 텍스트 및 전달 부탁 사항,1,1,0,0,0,0,0
other,연희요가축제_인터뷰_공유2,1,1,0,0,0,0,0
other,연희축제 프로그램,1,1,0,0,0,0,0
other,unknown,1,0,1,0,0,0,0
