location_key,display_name,latitude,longitude,outgoing_transition_count,incoming_transition_count,same_location_transition_count,cross_location_outgoing_count,cross_location_incoming_count,comfortable_transition_count,tight_transition_count,difficult_transition_count,overlap_transition_count,unknown_transition_count,comfortable_transition_share,avg_related_gap_minutes,avg_related_walk_minutes,transfer_hub_score,mobility_role_note
연남장,연남장,37.564330104536,126.927584999673,68,75,42,26,33,93,3,1,4,0,0.9208,115.35,5.34,80.0,같은 날 복수 예약 흐름에서 해당 장소가 연결점으로 등장한 정도입니다. 실제 GPS 이동 기록이 아니라 예약 시간표 기반 후보입니다.
마이트리,마이트리,37.565997558444,126.929894716912,26,42,12,14,30,50,5,0,1,0,0.8929,140.71,6.42,50.0,같은 날 복수 예약 흐름에서 해당 장소가 연결점으로 등장한 정도입니다. 실제 GPS 이동 기록이 아니라 예약 시간표 기반 후보입니다.
마인드플로우,마인드플로우,37.577020515491,126.935853747155,29,21,5,24,16,34,6,3,2,0,0.7556,136.56,14.89,42.5,같은 날 복수 예약 흐름에서 해당 장소가 연결점으로 등장한 정도입니다. 실제 GPS 이동 기록이 아니라 예약 시간표 기반 후보입니다.
시이작,시이작,37.567493895799,126.928321014591,23,25,4,19,21,42,0,0,2,0,0.9545,220.68,8.16,42.0,같은 날 복수 예약 흐름에서 해당 장소가 연결점으로 등장한 정도입니다. 실제 GPS 이동 기록이 아니라 예약 시간표 기반 후보입니다.
빅블루요가,빅블루요가,37.568792797424,126.930228568115,24,19,5,19,14,35,0,2,1,0,0.9211,200.66,6.74,35.5,같은 날 복수 예약 흐름에서 해당 장소가 연결점으로 등장한 정도입니다. 실제 GPS 이동 기록이 아니라 예약 시간표 기반 후보입니다.
대저택프라이빗,바운드하우스,37.570882196338,126.928780175247,15,20,4,11,16,28,0,1,2,0,0.9032,109.35,9.21,29.0,같은 날 복수 예약 흐름에서 해당 장소가 연결점으로 등장한 정도입니다. 실제 GPS 이동 기록이 아니라 예약 시간표 기반 후보입니다.
연희정음,연희정음,37.566711570866,126.929277808838,16,12,2,14,10,24,0,0,2,0,0.9231,109.62,4.19,25.0,같은 날 복수 예약 흐름에서 해당 장소가 연결점으로 등장한 정도입니다. 실제 GPS 이동 기록이 아니라 예약 시간표 기반 후보입니다.
무릉,무릉,37.568813333087,126.927272103227,13,8,0,13,8,19,2,0,0,0,0.9048,115.71,9.53,21.0,같은 날 복수 예약 흐름에서 해당 장소가 연결점으로 등장한 정도입니다. 실제 GPS 이동 기록이 아니라 예약 시간표 기반 후보입니다.
너울너울,너울너울,37.565560190736,126.91602233188,7,4,0,7,4,11,0,0,0,0,1.0,129.55,19.91,11.0,같은 날 복수 예약 흐름에서 해당 장소가 연결점으로 등장한 정도입니다. 실제 GPS 이동 기록이 아니라 예약 시간표 기반 후보입니다.
데이스타콜라보,데이스타콜라보,37.567682614349,126.931274545813,4,4,0,4,4,8,0,0,0,0,1.0,137.5,8.11,8.0,같은 날 복수 예약 흐름에서 해당 장소가 연결점으로 등장한 정도입니다. 실제 GPS 이동 기록이 아니라 예약 시간표 기반 후보입니다.
숨명상센터,숨 명상센터,37.572092920342,126.93806774306,5,3,0,5,3,7,0,1,0,0,0.875,283.12,16.42,8.0,같은 날 복수 예약 흐름에서 해당 장소가 연결점으로 등장한 정도입니다. 실제 GPS 이동 기록이 아니라 예약 시간표 기반 후보입니다.
비전스트롤 콜라보,비전스트롤,37.567356642134,126.928486557178,3,0,0,3,0,3,0,0,0,0,1.0,220.0,3.8,3.0,같은 날 복수 예약 흐름에서 해당 장소가 연결점으로 등장한 정도입니다. 실제 GPS 이동 기록이 아니라 예약 시간표 기반 후보입니다.
파츄코파라다이스,파츄코파라다이스,37.566328308343,126.927201695241,0,0,0,0,0,0,0,0,0,0,,,,0.0,같은 날 복수 예약 흐름에서 해당 장소가 연결점으로 등장한 정도입니다. 실제 GPS 이동 기록이 아니라 예약 시간표 기반 후보입니다.
