page_title,expected_role,communication_theme,evidence_block_count,public_use
연희요가위크,행사 기획안/대외 메시지 후보,공간_동선,9,use_as_summary_context_not_raw_quote
연희요가위크,행사 기획안/대외 메시지 후보,기타,38,use_as_summary_context_not_raw_quote
연희요가위크,행사 기획안/대외 메시지 후보,운영_크루_매뉴얼,1,use_as_summary_context_not_raw_quote
연희요가위크,행사 기획안/대외 메시지 후보,참여_브랜드_파트너,5,use_as_summary_context_not_raw_quote
연희요가위크,행사 기획안/대외 메시지 후보,프로그램_구성,17,use_as_summary_context_not_raw_quote
연희요가위크,행사 기획안/대외 메시지 후보,행사_기획_의도,8,use_as_summary_context_not_raw_quote
연희요가위크 크루매뉴얼,크루 운영 매뉴얼/경험 설계 근거,공간_동선,12,use_as_summary_context_not_raw_quote
연희요가위크 크루매뉴얼,크루 운영 매뉴얼/경험 설계 근거,기타,65,use_as_summary_context_not_raw_quote
연희요가위크 크루매뉴얼,크루 운영 매뉴얼/경험 설계 근거,대외_커뮤니케이션,6,use_as_summary_context_not_raw_quote
연희요가위크 크루매뉴얼,크루 운영 매뉴얼/경험 설계 근거,운영_크루_매뉴얼,25,use_as_summary_context_not_raw_quote
연희요가위크 크루매뉴얼,크루 운영 매뉴얼/경험 설계 근거,참여_브랜드_파트너,1,use_as_summary_context_not_raw_quote
연희요가위크 크루매뉴얼,크루 운영 매뉴얼/경험 설계 근거,프로그램_구성,19,use_as_summary_context_not_raw_quote
연희요가위크 크루매뉴얼,크루 운영 매뉴얼/경험 설계 근거,행사_기획_의도,11,use_as_summary_context_not_raw_quote
