source_file,source_line,class_date,day_number,start_time,end_time,location_text,class_title_text,class_title_without_teacher,teacher_text,reserved_count,capacity,fill_rate,raw_entry,raw_count_text,needs_review
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,69,2026-04-20,20,07:00,08:30,시이작,아쉬탕가 풀프라이머리 (준형),아쉬탕가 풀프라이머리,준형,4,4,1.0,07:00-08:30 [시이작] 아쉬탕가 풀프라이머리 (준형),4|4,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,71,2026-04-20,20,10:00,11:20,빅블루요가,정렬 에센스 (환),정렬 에센스,환,5,5,1.0,10:00-11:20 [빅블루요가] 정렬 에센스 (환),5|5,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,73,2026-04-20,20,10:30,11:30,마인드플로우,비기너요가 (유미),비기너요가,유미,10,10,1.0,10:30-11:30 [마인드플로우] 비기너요가 (유미),10|10,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,75,2026-04-20,20,11:50,12:50,마이트리,테라피 (성욱),테라피,성욱,6,6,1.0,11:50-12:50 [마이트리] 테라피 (성욱),6|6,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,77,2026-04-20,20,18:30,19:30,마인드플로우,비기너요가 (유미),비기너요가,유미,7,10,0.7,18:30-19:30 [마인드플로우] 비기너요가 (유미),7|10,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,79,2026-04-20,20,18:30,19:30,시이작,깨어나는 하타 (준호),깨어나는 하타,준호,4,4,1.0,18:30-19:30 [시이작] 깨어나는 하타 (준호),4|4,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,81,2026-04-20,20,19:00,20:00,마이트리,하타 (성욱),하타,성욱,3,5,0.6,19:00-20:00 [마이트리] 하타 (성욱),3|5,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,83,2026-04-20,20,19:30,20:40,빅블루요가,호흡 리커버리 (환),호흡 리커버리,환,5,5,1.0,19:30-20:40 [빅블루요가] 호흡 리커버리 (환),5|5,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,85,2026-04-20,20,20:00,21:00,마인드플로우,빈야사요가 (유미),빈야사요가,유미,7,10,0.7,20:00-21:00 [마인드플로우] 빈야사요가 (유미),7|10,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,87,2026-04-20,20,20:30,21:30,마이트리,테라피 (성욱),테라피,성욱,2,5,0.4,20:30-21:30 [마이트리] 테라피 (성욱),2|5,False
