studio_key,class_count,reservation_count,cancellation_count,net_reservation_count,cancellation_rate,review_count,review_rate_per_reservation,pass_reservation_count,one_time_reservation_count,participant_price_proxy_krw,avg_overall_rating,avg_class_rating,avg_atmosphere_rating,avg_facility_rating,avg_visit_count,instructor_tag_count,space_tag_count,atmosphere_tag_count,difficulty_tag_count,recovery_tag_count,revisit_intent_tag_count,reservation_hype,review_hype,satisfaction_hype,revisit_hype,payment_hype,operations_stability,price_proxy_note
연남장,16,348,198,150,0.3626373626373626,12,0.034482758620689655,187,145,6897500,4.833333333333333,4.916666666666667,4.916666666666667,4.666666666666667,2.5,7,10,10,1,4,1,95.83,43.75,96.67,40.91,95.83,63.74,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표"
마이트리,13,292,183,109,0.38526315789473686,13,0.04452054794520548,195,88,5612500,4.892307692307693,4.923076923076923,4.769230769230769,5.0,2.923076923076923,7,5,10,5,4,7,79.17,58.34,97.85,50.0,87.5,61.47,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표"
마인드플로우,7,270,158,112,0.3691588785046729,13,0.04814814814814815,157,95,5122500,4.953846153846154,5.0,5.0,4.846153846153846,2.4615384615384617,6,8,12,1,4,4,87.5,62.5,99.08,31.82,79.17,63.08,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표"
시이작,14,231,173,58,0.4282178217821782,13,0.05627705627705628,153,71,4452500,4.923076923076923,5.0,5.0,4.769230769230769,1.7692307692307692,9,5,12,5,7,8,70.83,66.67,98.46,13.64,70.83,57.18,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표"
빅블루요가,6,200,158,42,0.441340782122905,21,0.105,159,37,3707500,4.871428571428571,4.857142857142857,4.904761904761905,4.857142857142857,2.9523809523809526,10,7,12,2,11,14,54.17,91.66,97.43,59.09,62.5,55.87,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표"
대저택프라이빗,9,98,51,47,0.3422818791946309,6,0.061224489795918366,67,28,1872500,4.05,4.666666666666667,4.0,3.5,3.5,1,4,6,0,4,1,62.5,54.16,81.0,95.45,54.17,65.77,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표"
연희정음,9,96,73,23,0.4319526627218935,12,0.125,59,32,1832500,4.808333333333334,5.0,4.833333333333333,4.583333333333333,1.9166666666666667,6,11,11,0,9,5,37.5,77.08,96.17,22.73,45.83,56.8,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표"
무릉,1,47,14,33,0.22950819672131148,1,0.02127659574468085,37,8,847500,5.0,5.0,5.0,5.0,3.0,0,0,1,0,0,1,45.83,16.66,100.0,72.73,37.5,77.05,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표"
숨명상센터,5,44,30,14,0.40540540540540543,1,0.022727272727272728,36,7,805000,5.0,5.0,5.0,5.0,1.0,0,1,1,0,1,0,29.17,20.83,100.0,4.55,29.17,59.46,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표"
너울너울,1,30,25,5,0.45454545454545453,3,0.1,23,7,577500,5.0,5.0,5.0,5.0,3.3333333333333335,2,2,3,1,0,2,20.83,56.25,100.0,86.36,20.83,54.55,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표"
데이스타콜라보,1,11,11,0,0.5,0,0.0,9,2,207500,,,,,,0,0,0,0,0,0,4.17,4.17,,,12.5,50.0,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표"
비전스트롤 콜라보,1,10,7,3,0.4117647058823529,1,0.1,6,3,180000,5.0,5.0,5.0,5.0,3.0,0,1,1,0,1,0,12.5,47.91,100.0,72.73,4.17,58.82,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표"
