origin_session_key,origin_class_base_key,origin_class_title_base,origin_start_datetime_iso,origin_location_key,origin_display_name,destination_session_key,destination_class_base_key,destination_class_title_base,destination_start_datetime_iso,destination_location_key,destination_display_name,feasibility_status,feasibility_label,walk_method,same_location,transition_count,avg_gap_minutes,min_gap_minutes,max_gap_minutes,avg_walk_minutes,avg_walk_distance_m
연남장커뮤니티허브매트필라테스로부상없는몸만들기_20260509T1400,연남장커뮤니티허브매트필라테스로부상없는몸만들기,[연남장|커뮤니티허브] 매트 필라테스로 부상 없는 몸 만들기,2026-05-09T14:00+09:00,연남장,연남장,연남장커뮤니티허브바람과땀그리고알아차림봄날의역동적명상_20260509T1600,연남장커뮤니티허브바람과땀그리고알아차림봄날의역동적명상,"[연남장|커뮤니티허브] 바람과 땀, 그리고 알아차림 - 봄날의 역동적 명상",2026-05-09T16:00+09:00,연남장,연남장,comfortable,여유 있음,osmnx_walk_network,True,5,60.0,60.0,60.0,0.0,0.0
연남장커뮤니티허브마인드풀니스테라피요가아카샤은채_20260426T1500,연남장커뮤니티허브마인드풀니스테라피요가아카샤은채,[연남장|커뮤니티허브] 마인드풀니스 테라피 요가 (아카샤(은채)),2026-04-26T15:00+09:00,연남장,연남장,연남장커뮤니티허브forrestyoga의움직임을기반으로내몸의바른사용법찾아가기_20260426T1630,연남장커뮤니티허브forrestyoga의움직임을기반으로내몸의바른사용법찾아가기,[연남장|커뮤니티허브]Forrestyoga의 움직임을 기반으로 내몸의 바른 사용법 찾아가기,2026-04-26T16:30+09:00,연남장,연남장,comfortable,여유 있음,osmnx_walk_network,True,4,30.0,30.0,30.0,0.0,0.0
연남장커뮤니티허브비트박스공연과호흡소리로몰입하는요가_20260426T1315,연남장커뮤니티허브비트박스공연과호흡소리로몰입하는요가,[연남장|커뮤니티허브] 비트박스 공연과 호흡소리로 몰입하는 요가,2026-04-26T13:15+09:00,연남장,연남장,연남장커뮤니티허브마인드풀니스테라피요가아카샤은채_20260426T1500,연남장커뮤니티허브마인드풀니스테라피요가아카샤은채,[연남장|커뮤니티허브] 마인드풀니스 테라피 요가 (아카샤(은채)),2026-04-26T15:00+09:00,연남장,연남장,comfortable,여유 있음,osmnx_walk_network,True,4,30.0,30.0,30.0,0.0,0.0
마인드플로우비기너요가_20260420T1030,마인드플로우비기너요가,[마인드플로우] 비기너요가,2026-04-20T10:30+09:00,마인드플로우,마인드플로우,마이트리테라피_20260420T1150,마이트리테라피,[마이트리] 테라피,2026-04-20T11:50+09:00,마이트리,마이트리,tight,빠듯함,osmnx_walk_network,False,3,20.0,20.0,20.0,18.35,1468.23
마이트리연희스페셜roottorisevinyasa_20260503T1100,마이트리연희스페셜roottorisevinyasa,[마이트리|연희스페셜] Root to Rise (Vinyasa),2026-05-03T11:00+09:00,마이트리,마이트리,마이트리연희스페셜꽁샘과도전하는에카파다라자카포타_20260503T1230,마이트리연희스페셜꽁샘과도전하는에카파다라자카포타,[마이트리|연희스페셜] 꽁샘과 도전하는 에카파다라자카포타,2026-05-03T12:30+09:00,마이트리,마이트리,comfortable,여유 있음,osmnx_walk_network,True,3,30.0,30.0,30.0,0.0,0.0
빅블루요가연희스페셜정렬인텐시브견갑골집중_20260502T1330,빅블루요가연희스페셜정렬인텐시브견갑골집중,[빅블루요가|연희스페셜] 정렬 인텐시브: 견갑골 집중,2026-05-02T13:30+09:00,빅블루요가,빅블루요가,마이트리연희스페셜올레벨빈야사_20260502T1600,마이트리연희스페셜올레벨빈야사,[마이트리|연희스페셜] 올레벨 빈야사,2026-05-02T16:00+09:00,마이트리,마이트리,comfortable,여유 있음,osmnx_walk_network,False,3,60.0,60.0,60.0,6.08,486.03
연남장커뮤니티허브딥어웨이크하타_20260509T1000,연남장커뮤니티허브딥어웨이크하타,[연남장|커뮤니티허브] 딥어웨이크 하타,2026-05-09T10:00+09:00,연남장,연남장,마이트리얼라인요가_20260509T1200,마이트리얼라인요가,[마이트리] 얼라인 요가,2026-05-09T12:00+09:00,마이트리,마이트리,comfortable,여유 있음,osmnx_walk_network,False,3,60.0,60.0,60.0,5.31,424.61
연남장커뮤니티허브바람과땀그리고알아차림봄날의역동적명상_20260509T1600,연남장커뮤니티허브바람과땀그리고알아차림봄날의역동적명상,"[연남장|커뮤니티허브] 바람과 땀, 그리고 알아차림 - 봄날의 역동적 명상",2026-05-09T16:00+09:00,연남장,연남장,연남장커뮤니티허브하루를내려놓는요가와바이올린_20260509T1800,연남장커뮤니티허브하루를내려놓는요가와바이올린,[연남장|커뮤니티허브] 하루를 내려놓는 요가와 바이올린,2026-05-09T18:00+09:00,연남장,연남장,comfortable,여유 있음,osmnx_walk_network,True,3,60.0,60.0,60.0,0.0,0.0
연남장커뮤니티허브forrestyoga의움직임을기반으로내몸의바른사용법찾아가기_20260426T1630,연남장커뮤니티허브forrestyoga의움직임을기반으로내몸의바른사용법찾아가기,[연남장|커뮤니티허브]Forrestyoga의 움직임을 기반으로 내몸의 바른 사용법 찾아가기,2026-04-26T16:30+09:00,연남장,연남장,마인드플로우연희스페셜몸으로하는선셋자애명상_20260426T1800,마인드플로우연희스페셜몸으로하는선셋자애명상,[마인드플로우|연희스페셜] 몸으로 하는 선셋 자애 명상,2026-04-26T18:00+09:00,마인드플로우,마인드플로우,tight,빠듯함,osmnx_walk_network,False,3,30.0,30.0,30.0,21.92,1753.99
연희정음랜드마크빅블루의호흡회복요가_20260426T1000,연희정음랜드마크빅블루의호흡회복요가,[연희정음|랜드마크] 빅블루의 호흡 회복 요가,2026-04-26T10:00+09:00,연희정음,연희정음,연남장커뮤니티허브마인드풀니스테라피요가아카샤은채_20260426T1500,연남장커뮤니티허브마인드풀니스테라피요가아카샤은채,[연남장|커뮤니티허브] 마인드풀니스 테라피 요가 (아카샤(은채)),2026-04-26T15:00+09:00,연남장,연남장,comfortable,여유 있음,osmnx_walk_network,False,3,240.0,240.0,240.0,5.02,401.67
