source_dataset,status,status_source,source_file,source_page,source_row_index,source_line_start,source_line_end,request_datetime_text,cancel_datetime_text,request_cancel_line_extra_text,request_cancel_line_raw,class_datetime_text,class_info_text,reserver_name,phone,people_count_text,booking_method_text,people_booking_line_extra_text,people_booking_line_raw,raw_record_text
cancel,취소,folder:cancellations,1p.txt,1,1,28,33,03.28 23:44,04.10 16:50,,03.28 23:44	04.10 16:50	,5.09 (토) 16:00-17:00,"[연남장|커뮤니티허브] 바람과 땀, 그리고 알아차림 - 봄날의 역동적 명상 (요가소년)",participant_0218,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.28 23:44	04.10 16:50	
5.09 (토) 16:00-17:00
[연남장|커뮤니티허브] 바람과 땀, 그리고 알아차림 - 봄날의 역동적 명상 (요가소년)
participant_0218
PHONE_MASKED
1명	오붓패스"
cancel,취소,folder:cancellations,1p.txt,1,2,34,39,03.28 23:47,04.10 16:50,,03.28 23:47	04.10 16:50	,4.20 (월) 07:00-08:30,[시이작] 아쉬탕가 풀프라이머리 (준형),participant_0218,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.28 23:47	04.10 16:50	
4.20 (월) 07:00-08:30
[시이작] 아쉬탕가 풀프라이머리 (준형)
participant_0218
PHONE_MASKED
1명	오붓패스"
cancel,취소,folder:cancellations,1p.txt,1,3,40,45,03.28 23:47,04.10 16:50,,03.28 23:47	04.10 16:50	,4.20 (월) 10:00-11:20,[빅블루요가] 정렬 에센스 (환),participant_0218,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.28 23:47	04.10 16:50	
4.20 (월) 10:00-11:20
[빅블루요가] 정렬 에센스 (환)
participant_0218
PHONE_MASKED
1명	오붓패스"
cancel,취소,folder:cancellations,1p.txt,1,4,46,51,03.28 23:48,04.10 16:50,,03.28 23:48	04.10 16:50	,4.25 (토) 14:00-15:00,[연희정음|랜드마크] 봄햇살 아래 나른한 힐링요가 (수인),participant_0218,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.28 23:48	04.10 16:50	
4.25 (토) 14:00-15:00
[연희정음|랜드마크] 봄햇살 아래 나른한 힐링요가 (수인)
participant_0218
PHONE_MASKED
1명	오붓패스"
cancel,취소,folder:cancellations,1p.txt,1,5,52,57,03.28 23:52,04.10 16:50,,03.28 23:52	04.10 16:50	,4.27 (월) 07:00-08:30,[시이작] 아쉬탕가 풀프라이머리 (준형),participant_0218,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.28 23:52	04.10 16:50	
4.27 (월) 07:00-08:30
[시이작] 아쉬탕가 풀프라이머리 (준형)
participant_0218
PHONE_MASKED
1명	오붓패스"
cancel,취소,folder:cancellations,1p.txt,1,6,58,63,03.28 23:53,04.10 16:50,,03.28 23:53	04.10 16:50	,4.26 (일) 19:50-21:20,[시이작] 땀나는 하타 (수인),participant_0218,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.28 23:53	04.10 16:50	
4.26 (일) 19:50-21:20
[시이작] 땀나는 하타 (수인)
participant_0218
PHONE_MASKED
1명	오붓패스"
cancel,취소,folder:cancellations,1p.txt,1,7,64,69,03.28 23:53,04.10 16:50,,03.28 23:53	04.10 16:50	,5.03 (일) 19:50-21:20,[시이작] 땀나는 하타 (수인),participant_0218,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.28 23:53	04.10 16:50	
5.03 (일) 19:50-21:20
[시이작] 땀나는 하타 (수인)
participant_0218
PHONE_MASKED
1명	오붓패스"
cancel,취소,folder:cancellations,1p.txt,1,8,70,75,03.31 15:13,03.31 17:31,,03.31 15:13	03.31 17:31	,5.04 (월) 19:30-20:40,[빅블루요가] 호흡 리커버리 (환),participant_0004,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.31 15:13	03.31 17:31	
5.04 (월) 19:30-20:40
[빅블루요가] 호흡 리커버리 (환)
participant_0004
PHONE_MASKED
1명	오붓패스"
cancel,취소,folder:cancellations,1p.txt,1,9,76,81,03.31 15:20,04.06 13:52,,03.31 15:20	04.06 13:52	,4.24 (금) 19:50-20:50,[시이작] 땀나는 빈야사 (준형),participant_0004,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.31 15:20	04.06 13:52	
4.24 (금) 19:50-20:50
[시이작] 땀나는 빈야사 (준형)
participant_0004
PHONE_MASKED
1명	오붓패스"
cancel,취소,folder:cancellations,1p.txt,1,10,82,87,03.31 16:33,04.25 22:56,,03.31 16:33	04.25 22:56	,5.02 (토) 10:00-11:00,[비전스트롤 콜라보|옥상요가] 커피와 요가 (준형),participant_0001,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.31 16:33	04.25 22:56	
5.02 (토) 10:00-11:00
[비전스트롤 콜라보|옥상요가] 커피와 요가 (준형)
participant_0001
PHONE_MASKED
1명	오붓패스"
cancel,취소,folder:cancellations,1p.txt,1,11,88,93,03.31 16:44,04.18 16:24,,03.31 16:44	04.18 16:24	,4.22 (수) 07:00-08:00,[시이작] 땀나는 아쉬탕가 (준형),participant_0626,PHONE_MASKED,1명,오붓1회권,,1명	오붓1회권,"03.31 16:44	04.18 16:24	
4.22 (수) 07:00-08:00
[시이작] 땀나는 아쉬탕가 (준형)
participant_0626
PHONE_MASKED
1명	오붓1회권"
cancel,취소,folder:cancellations,1p.txt,1,12,94,99,03.31 16:48,04.29 22:21,,03.31 16:48	04.29 22:21	,5.02 (토) 16:00-17:00,[마이트리|연희스페셜] 올레벨 빈야사 (한석완),participant_0627,PHONE_MASKED,1명,오붓1회권,,1명	오붓1회권,"03.31 16:48	04.29 22:21	
5.02 (토) 16:00-17:00
[마이트리|연희스페셜] 올레벨 빈야사 (한석완)
participant_0627
PHONE_MASKED
1명	오붓1회권"
cancel,취소,folder:cancellations,1p.txt,1,13,100,105,03.31 16:48,04.20 12:06,,03.31 16:48	04.20 12:06	,4.23 (목) 20:00-21:00,[마인드플로우] 비기너요가 (유미),participant_0002,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.31 16:48	04.20 12:06	
4.23 (목) 20:00-21:00
[마인드플로우] 비기너요가 (유미)
participant_0002
PHONE_MASKED
1명	오붓패스"
