source_dataset,status,status_source,source_file,source_page,source_row_index,source_line_start,source_line_end,request_datetime_text,cancel_datetime_text,request_cancel_line_extra_text,request_cancel_line_raw,class_datetime_text,class_info_text,reserver_name,phone,people_count_text,booking_method_text,people_booking_line_extra_text,people_booking_line_raw,raw_record_text
reservation,예약,folder:reservations,1p.txt,1,1,28,33,03.31 16:35,,,03.31 16:35		,5.09 (토) 10:00-11:00,[연남장|커뮤니티허브] 딥어웨이크 하타 (모나),participant_0001,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.31 16:35		
5.09 (토) 10:00-11:00
[연남장|커뮤니티허브] 딥어웨이크 하타 (모나)
participant_0001
PHONE_MASKED
1명	오붓패스"
reservation,예약,folder:reservations,1p.txt,1,2,34,39,03.31 16:53,,,03.31 16:53		,5.01 (금) 17:00-18:00,[대저택프라이빗] 단단하게 뿌리 내리며 자유롭게 흐르는 빈야사 (유미),participant_0002,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.31 16:53		
5.01 (금) 17:00-18:00
[대저택프라이빗] 단단하게 뿌리 내리며 자유롭게 흐르는 빈야사 (유미)
participant_0002
PHONE_MASKED
1명	오붓패스"
reservation,예약,folder:reservations,1p.txt,1,3,40,45,03.31 16:55,,,03.31 16:55		,5.02 (토) 10:00-11:00,[비전스트롤 콜라보|옥상요가] 커피와 요가 (준형),participant_0002,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.31 16:55		
5.02 (토) 10:00-11:00
[비전스트롤 콜라보|옥상요가] 커피와 요가 (준형)
participant_0002
PHONE_MASKED
1명	오붓패스"
reservation,예약,folder:reservations,1p.txt,1,4,46,51,03.31 16:55,,,03.31 16:55		,5.03 (일) 13:00-15:00,"[시이작|연희스페셜]TCI 기질검사로 나를 이해하고, ‘긍정감자’ 키링 만들기 (진원)",participant_0002,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.31 16:55		
5.03 (일) 13:00-15:00
[시이작|연희스페셜]TCI 기질검사로 나를 이해하고, ‘긍정감자’ 키링 만들기 (진원)
participant_0002
PHONE_MASKED
1명	오붓패스"
reservation,예약,folder:reservations,1p.txt,1,5,52,57,03.31 17:00,,,03.31 17:00		,5.05 (화) 12:00-13:00,[연남장|커뮤니티허브] 짠짠! 막걸리요가! with 복순도가 (준호),participant_0002,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.31 17:00		
5.05 (화) 12:00-13:00
[연남장|커뮤니티허브] 짠짠! 막걸리요가! with 복순도가 (준호)
participant_0002
PHONE_MASKED
1명	오붓패스"
reservation,예약,folder:reservations,1p.txt,1,6,58,63,03.31 17:25,,,03.31 17:25		,5.02 (토) 10:00-11:00,[비전스트롤 콜라보|옥상요가] 커피와 요가 (준형),participant_0003,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.31 17:25		
5.02 (토) 10:00-11:00
[비전스트롤 콜라보|옥상요가] 커피와 요가 (준형)
participant_0003
PHONE_MASKED
1명	오붓패스"
reservation,예약,folder:reservations,1p.txt,1,7,64,69,03.31 17:31,,,03.31 17:31		,5.09 (토) 16:00-17:00,"[연남장|커뮤니티허브] 바람과 땀, 그리고 알아차림 - 봄날의 역동적 명상 (요가소년)",participant_0004,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.31 17:31		
5.09 (토) 16:00-17:00
[연남장|커뮤니티허브] 바람과 땀, 그리고 알아차림 - 봄날의 역동적 명상 (요가소년)
participant_0004
PHONE_MASKED
1명	오붓패스"
reservation,예약,folder:reservations,1p.txt,1,8,70,75,03.31 17:44,,,03.31 17:44		,4.26 (일) 10:00-11:00,[연남장|커뮤니티허브] 차근 차근 몸을 깨우는 하타요가 (유미),participant_0005,PHONE_MASKED,1명,오붓1회권,,1명	오붓1회권,"03.31 17:44		
4.26 (일) 10:00-11:00
[연남장|커뮤니티허브] 차근 차근 몸을 깨우는 하타요가 (유미)
participant_0005
PHONE_MASKED
1명	오붓1회권"
reservation,예약,folder:reservations,1p.txt,1,9,76,81,03.31 17:53,,,03.31 17:53		,5.02 (토) 10:00-11:00,[비전스트롤 콜라보|옥상요가] 커피와 요가 (준형),participant_0006,PHONE_MASKED,1명,오붓1회권,,1명	오붓1회권,"03.31 17:53		
5.02 (토) 10:00-11:00
[비전스트롤 콜라보|옥상요가] 커피와 요가 (준형)
participant_0006
PHONE_MASKED
1명	오붓1회권"
reservation,예약,folder:reservations,1p.txt,1,10,82,87,03.31 18:03,,,03.31 18:03		,5.03 (일) 12:30-13:45,[마이트리|연희스페셜] 꽁샘과 도전하는 에카파다라자카포타 (꽁쌤),participant_0007,PHONE_MASKED,1명,오붓1회권,,1명	오붓1회권,"03.31 18:03		
5.03 (일) 12:30-13:45
[마이트리|연희스페셜] 꽁샘과 도전하는 에카파다라자카포타 (꽁쌤)
participant_0007
PHONE_MASKED
1명	오붓1회권"
reservation,예약,folder:reservations,1p.txt,1,11,88,93,03.31 18:21,,,03.31 18:21		,5.01 (금) 17:00-18:00,[대저택프라이빗] 단단하게 뿌리 내리며 자유롭게 흐르는 빈야사 (유미),participant_0008,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.31 18:21		
5.01 (금) 17:00-18:00
[대저택프라이빗] 단단하게 뿌리 내리며 자유롭게 흐르는 빈야사 (유미)
participant_0008
PHONE_MASKED
1명	오붓패스"
reservation,예약,folder:reservations,1p.txt,1,12,94,99,03.31 18:25,,,03.31 18:25		,4.25 (토) 16:00-17:00,[연희정음|랜드마크] 명상 흐름의 슬로우 빈야사 (고은),participant_0009,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.31 18:25		
4.25 (토) 16:00-17:00
[연희정음|랜드마크] 명상 흐름의 슬로우 빈야사 (고은)
participant_0009
PHONE_MASKED
1명	오붓패스"
reservation,예약,folder:reservations,1p.txt,1,13,100,105,03.31 18:26,,,03.31 18:26		,5.02 (토) 16:00-17:00,[마이트리|연희스페셜] 올레벨 빈야사 (한석완),participant_0009,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.31 18:26		
5.02 (토) 16:00-17:00
[마이트리|연희스페셜] 올레벨 빈야사 (한석완)
participant_0009
PHONE_MASKED
1명	오붓패스"
reservation,예약,folder:reservations,1p.txt,1,14,106,111,03.31 18:26,,,03.31 18:26		,5.02 (토) 10:00-11:00,[비전스트롤 콜라보|옥상요가] 커피와 요가 (준형),participant_0010,PHONE_MASKED,2명,오붓1회권,,2명	오붓1회권,"03.31 18:26		
5.02 (토) 10:00-11:00
[비전스트롤 콜라보|옥상요가] 커피와 요가 (준형)
participant_0010
PHONE_MASKED
2명	오붓1회권"
reservation,예약,folder:reservations,1p.txt,1,15,112,117,03.31 18:26,,,03.31 18:26		,5.09 (토) 10:00-11:00,[연남장|커뮤니티허브] 딥어웨이크 하타 (모나),participant_0009,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.31 18:26		
5.09 (토) 10:00-11:00
[연남장|커뮤니티허브] 딥어웨이크 하타 (모나)
participant_0009
PHONE_MASKED
1명	오붓패스"
reservation,예약,folder:reservations,1p.txt,1,16,118,123,03.31 18:27,,,03.31 18:27		,5.09 (토) 16:00-17:00,"[연남장|커뮤니티허브] 바람과 땀, 그리고 알아차림 - 봄날의 역동적 명상 (요가소년)",participant_0009,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.31 18:27		
5.09 (토) 16:00-17:00
[연남장|커뮤니티허브] 바람과 땀, 그리고 알아차림 - 봄날의 역동적 명상 (요가소년)
participant_0009
PHONE_MASKED
1명	오붓패스"
reservation,예약,folder:reservations,1p.txt,1,17,124,129,03.31 18:41,,,03.31 18:41		,4.26 (일) 10:00-11:00,[연남장|커뮤니티허브] 차근 차근 몸을 깨우는 하타요가 (유미),participant_0011,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.31 18:41		
4.26 (일) 10:00-11:00
[연남장|커뮤니티허브] 차근 차근 몸을 깨우는 하타요가 (유미)
participant_0011
PHONE_MASKED
1명	오붓패스"
reservation,예약,folder:reservations,1p.txt,1,18,130,135,03.31 18:42,,,03.31 18:42		,5.03 (일) 12:30-13:45,[마이트리|연희스페셜] 꽁샘과 도전하는 에카파다라자카포타 (꽁쌤),participant_0011,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.31 18:42		
5.03 (일) 12:30-13:45
[마이트리|연희스페셜] 꽁샘과 도전하는 에카파다라자카포타 (꽁쌤)
participant_0011
PHONE_MASKED
1명	오붓패스"
reservation,예약,folder:reservations,1p.txt,1,19,136,141,03.31 18:43,,,03.31 18:43		,5.09 (토) 16:00-17:00,"[연남장|커뮤니티허브] 바람과 땀, 그리고 알아차림 - 봄날의 역동적 명상 (요가소년)",participant_0012,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.31 18:43		
5.09 (토) 16:00-17:00
[연남장|커뮤니티허브] 바람과 땀, 그리고 알아차림 - 봄날의 역동적 명상 (요가소년)
participant_0012
PHONE_MASKED
1명	오붓패스"
reservation,예약,folder:reservations,1p.txt,1,20,142,147,03.31 18:44,,,03.31 18:44		,5.03 (일) 19:50-21:20,[시이작] 땀나는 하타 (수인),participant_0011,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.31 18:44		
5.03 (일) 19:50-21:20
[시이작] 땀나는 하타 (수인)
participant_0011
PHONE_MASKED
1명	오붓패스"
reservation,예약,folder:reservations,2p.txt,2,1,28,33,03.31 18:45,,,03.31 18:45		,4.25 (토) 18:00-19:00,[연희정음|랜드마크] 핸드팬에 잠기는 저녁 요가 명상 with 칼레트 (준형 & 마고사운드),participant_0012,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.31 18:45		
4.25 (토) 18:00-19:00
[연희정음|랜드마크] 핸드팬에 잠기는 저녁 요가 명상 with 칼레트 (준형 & 마고사운드)
participant_0012
PHONE_MASKED
1명	오붓패스"
reservation,예약,folder:reservations,2p.txt,2,2,34,39,03.31 18:47,,,03.31 18:47		,5.02 (토) 10:00-11:00,[비전스트롤 콜라보|옥상요가] 커피와 요가 (준형),participant_0012,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.31 18:47		
5.02 (토) 10:00-11:00
[비전스트롤 콜라보|옥상요가] 커피와 요가 (준형)
participant_0012
PHONE_MASKED
1명	오붓패스"
reservation,예약,folder:reservations,2p.txt,2,3,40,45,03.31 18:51,,,03.31 18:51		,4.25 (토) 18:00-19:00,[연희정음|랜드마크] 핸드팬에 잠기는 저녁 요가 명상 with 칼레트 (준형 & 마고사운드),participant_0013,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.31 18:51		
4.25 (토) 18:00-19:00
[연희정음|랜드마크] 핸드팬에 잠기는 저녁 요가 명상 with 칼레트 (준형 & 마고사운드)
participant_0013
PHONE_MASKED
1명	오붓패스"
reservation,예약,folder:reservations,2p.txt,2,4,46,51,03.31 18:52,,,03.31 18:52		,4.26 (일) 12:00-13:00,[연남장|커뮤니티허브]처음이라 좋은 아쉬탕가 with 베지어트 (준형),participant_0013,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.31 18:52		
4.26 (일) 12:00-13:00
[연남장|커뮤니티허브]처음이라 좋은 아쉬탕가 with 베지어트 (준형)
participant_0013
PHONE_MASKED
1명	오붓패스"
reservation,예약,folder:reservations,2p.txt,2,5,52,57,03.31 18:53,,,03.31 18:53		,4.27 (월) 10:00-11:20,[빅블루요가] 정렬 에센스 (환),participant_0013,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.31 18:53		
4.27 (월) 10:00-11:20
[빅블루요가] 정렬 에센스 (환)
participant_0013
PHONE_MASKED
1명	오붓패스"
reservation,예약,folder:reservations,2p.txt,2,6,58,63,03.31 19:47,,,03.31 19:47		,5.01 (금) 17:00-18:00,[대저택프라이빗] 단단하게 뿌리 내리며 자유롭게 흐르는 빈야사 (유미),participant_0014,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.31 19:47		
5.01 (금) 17:00-18:00
[대저택프라이빗] 단단하게 뿌리 내리며 자유롭게 흐르는 빈야사 (유미)
participant_0014
PHONE_MASKED
1명	오붓패스"
reservation,예약,folder:reservations,2p.txt,2,7,64,69,03.31 19:47,,,03.31 19:47		,5.02 (토) 10:00-11:00,[비전스트롤 콜라보|옥상요가] 커피와 요가 (준형),participant_0014,PHONE_MASKED,1명,오붓패스,,1명	오붓패스,"03.31 19:47		
5.02 (토) 10:00-11:00
[비전스트롤 콜라보|옥상요가] 커피와 요가 (준형)
participant_0014
PHONE_MASKED
1명	오붓패스"
